P41192892,Madhyamaka
P1BD1D21B,Prajñāpāramitā
P46651B4C,Abhidharma
P2385484E,Pramāṇa
PE85D52F9,Trisaṃvara
PE5239288,Works of Lama Dampa Sönam Gyaltsen
P86414754,Sakya Lotsawa Jamyang Kunga Sönam
P7CACCFC4,Works of Ngagchang Kunga Rinchen (vol. 2)
PBE4F4D11,Jamgön Amezhab Ngawang Kunga Sönam
P3E2654B3,Ngawang Kunga Lodrö
P36463499,Works of Chomden Rigpe Raltri
PDDC3AC40,Rendawa Zhönnu Lodrö
P1BD12DF2,Works of Rongtön Shakya Gyaltsen
PD0337411,Works of Taktsang Lotsawa Sherab Rinchen
PCCAA14DC,Ngor Khenpo Palden Dondrup
P8B3D12DC,Works of Khenchen Sangye Phüntshog (vol. KHA)
P5E8286C8,Works of Gatön Ngawang Legpa
P30E82D6E,Dezhung Tulku Jamyang Kunga Tenpe Gyaltsen
P6B49BC7E,Works of Tsarchen Losal Gyatso
PEECE3ADE,Gorampa Sönam Senge
P6D446E86,Biographies
P3183452E,Commentaries on philosophical treatises
P6DBDD66E,Various works from the Shangpa Kagyü tradition
PA071E4C1,Root verses of important philosophical treatises
PDDECCDFC,Works on Mind Training
P5774CAE6,Doxographical works
P8438B36C,Individual works
